id,query,road,house_number,neighbourhood,city,county,state
7129300520,"47.5112,-122.257",61st Avenue South,10012,Rainier Beach,Seattle,King County,Washington
6414100192,"47.721,-122.319",Northeast 127th Street,837,NA,Seattle,King County,Washington
5631500400,"47.7379,-122.233",81st Avenue Northeast,15109,NA,NA,King County,Washington
2487200875,"47.5208,-122.393",Fauntleroy Way Southwest,9236,NA,Seattle,King County,Washington
1954400510,"47.6168,-122.045",221st Avenue Northeast,923,NA,NA,King County,Washington
7237550310,"47.6561,-122.005",Northeast Patterson Way,25005,NA,NA,King County,Washington
1321400060,"47.3097,-122.327",South 330th Place,533,NA,NA,King County,Washington
2008000270,"47.4095,-122.315",14th Avenue South,21421,Des Moines Creek,NA,King County,Washington
2414600126,"47.5123,-122.337",Southwest 102nd Street,216,NA,Seattle,King County,Washington
3793500160,"47.3684,-122.031",232nd Place Southeast,26007,Katesridge,NA,King County,Washington
1736800520,"47.6007,-122.145",146th Avenue Southeast,NA,NA,Bellevue,King County,Washington
9212900260,"47.69,-122.292",Northeast 85th Street,3169,Wedgwood,Seattle,King County,Washington
114101516,"47.7558,-122.229",NE 176th Court,8308,NA,NA,King County,Washington
6054650070,"47.6127,-122.045",Northeast 3rd Place,22144,NA,NA,King County,Washington
1175000570,"47.67,-122.394",Northwest 57th Street,2825,Sunset Hill,Seattle,King County,Washington
9297300055,"47.5714,-122.375",33rd Avenue Southwest,3614,NA,Seattle,King County,Washington
1875500060,"47.7277,-121.962",Northeast 141st Place,28272,NA,NA,King County,Washington
6865200140,"47.6648,-122.343",North 50th Street,1215,NA,Seattle,King County,Washington
16000397,"47.3089,-122.21",Pike Street Northeast,19,NA,NA,King County,Washington
7983200060,"47.3343,-122.306",21st Avenue South,29826,NA,NA,King County,Washington
6300500875,"47.7025,-122.341",Interlake Avenue North,10033,Licton Springs,Seattle,King County,Washington
2524049179,"47.5316,-122.233",79th Avenue Southeast,7998,NA,NA,King County,Washington
7137970340,"47.3266,-122.169",Southeast 307th Place,12840,NA,NA,King County,Washington
8091400200,"47.3533,-122.166",Southeast 277th Place,13105,NA,NA,King County,Washington
3814700200,"47.3739,-122.172",Southeast 254th Court,12715,White Horse Crossing,NA,King County,Washington
1202000200,"47.3048,-122.218",I Street Southeast,316,NA,NA,King County,Washington
1794500383,"47.6386,-122.36",West Boston Street,206,NA,Seattle,King County,Washington
3303700376,"47.6221,-122.314",East Harrison Street,1414,NA,Seattle,King County,Washington
5101402488,"47.695,-122.304",Northeast 91st Street,2302,Wedgwood,Seattle,King County,Washington
1873100390,"47.7073,-122.11",Northeast 119th Way,17256,NA,NA,King County,Washington
8562750320,"47.5391,-122.07",Northwest Granite Peak Lane,NA,NA,NA,King County,Washington
2426039314,"47.7274,-122.357",Greenwood Avenue North,13435,NA,Seattle,King County,Washington
461000390,"47.6823,-122.368",9th Avenue Northwest,7326,Whittier Heights,Seattle,King County,Washington
7589200193,"47.6889,-122.375",Northwest 83rd Street,1420,Whittier Heights,Seattle,King County,Washington
7955080270,"47.4276,-122.157",138th Avenue Southeast,19504,Rock Creek,NA,King County,Washington
9547205180,"47.6827,-122.31",17th Avenue Northeast,7349,NA,Seattle,King County,Washington
9435300030,"47.6621,-122.132",Northeast 62nd Court,15645,NA,NA,King County,Washington
2768000400,"47.6702,-122.362",Northwest 58th Street,NA,NA,Seattle,King County,Washington
7895500070,"47.3341,-122.282",42nd Avenue South,29840,NA,NA,King County,Washington
2078500320,"47.5301,-122.18",120th Place Southeast,8113,NA,NA,King County,Washington
5547700270,"47.6145,-122.027",234th Place Northeast,521,NA,NA,King County,Washington
7766200013,"47.445,-122.347",Southwest 174th Street,853,NA,NA,King County,Washington
7203220400,"47.6848,-122.016",242nd Way Northeast,9704,NA,NA,King County,Washington
9270200160,"47.6413,-122.364",West Smith Street,507,NA,Seattle,King County,Washington
1432701230,"47.4485,-122.175",Southeast 172nd Street,12505,NA,NA,King County,Washington
8035350320,"47.7443,-121.977",270th Place Northeast,16075,NA,NA,King County,Washington
8945200830,"47.3066,-122.371",Southwest 330th Street,2902,Twin Lakes,NA,King County,Washington
4178300310,"47.6194,-122.151",Northeast 8th Street,NA,NA,Bellevue,King County,Washington
9215400105,"47.6796,-122.301",25th Avenue Northeast,7001,Ravenna,Seattle,King County,Washington
822039084,"47.4041,-122.451",NA,NA,NA,NA,King County,Washington
5245600105,"47.4258,-122.322",10th Avenue South,19626,North Hill,NA,King County,Washington
7231300125,"47.4934,-122.189",Blaine Avenue Northeast,663,Highlands Park,NA,King County,Washington
7518505990,"47.6808,-122.384",22nd Avenue Northwest,7040,Loyal Heights,Seattle,King County,Washington
3626039271,"47.6989,-122.369",9th Avenue Northwest,9527,Crown Hill,Seattle,King County,Washington
4217401195,"47.6571,-122.281",43rd Avenue Northeast,3848,Laurelhurst,Seattle,King County,Washington
9822700295,"47.6597,-122.29",Northeast 43rd Street,3503,NA,Seattle,King County,Washington
9478500640,"47.3663,-122.114",Southeast 263rd Street,17025,NA,NA,King County,Washington
2799800710,"47.3663,-122.122",Southeast 263rd Street,16426,Stonefield,NA,King County,Washington
7922800400,"47.588,-122.116",Southeast 26th Street,16855,Sammamish Heights,Bellevue,King County,Washington
8079040320,"47.5059,-122.149",Ilwaco Avenue Northeast,1520,Summerwind,NA,King County,Washington
1516000055,"47.4336,-122.339",Southwest 189th Place,233,NA,NA,King County,Washington
9558200045,"47.4366,-122.335",1st Avenue South,NA,NA,NA,King County,Washington
5072410070,"47.4428,-122.344",6th Place Southwest,17551,NA,NA,King County,Washington
9528102996,"47.6765,-122.32",8th Avenue Northeast,6595,NA,Seattle,King County,Washington
1189001180,"47.6113,-122.297",27th Avenue,942,NA,Seattle,King County,Washington
3253500160,"47.5747,-122.304",22nd Avenue South,3214,NA,Seattle,King County,Washington
3394100030,"47.5815,-122.192",111th Avenue Southeast,NA,NA,Bellevue,King County,Washington
3717000160,"47.3378,-122.257",South 295th Court,6110,NA,NA,King County,Washington
1274500060,"47.3621,-122.11",Southeast 267th Place,17235,NA,NA,King County,Washington
1802000060,"47.6303,-122.215",94th Avenue Northeast,2178,NA,NA,King County,Washington
1525059190,"47.6525,-122.16",Northeast 50th Street,13511,NA,Bellevue,King County,Washington
1049000060,"47.7362,-122.179",Northeast 149th Place,12206,NA,NA,King County,Washington
8820901275,"47.7168,-122.287",38th Avenue Northeast,12042,NA,Seattle,King County,Washington
5416510140,"47.3608,-122.036",Southeast 269th Street,22840,Rock Creek Meadows,NA,King County,Washington
3444100400,"47.3511,-122.073",201st Avenue Southeast,27710,Winterwood Estates,NA,King County,Washington
3276920270,"47.5822,-121.987",263rd Place Southeast,3058,Tibbetts Station,NA,King County,Washington
4036801170,"47.6034,-122.125",Southeast 7th Street,16111,NA,Bellevue,King County,Washington
2391600320,"47.5636,-122.394",48th Avenue Southwest,4441,NA,Seattle,King County,Washington
6300000287,"47.7073,-122.34",Interlake Avenue North,10710,NA,Seattle,King County,Washington
1531000030,"47.342,-122.025",Black Bear Trail,NA,NA,NA,King County,Washington
5104520400,"47.3512,-122.008",Maple Ridge Way Southeast,27989,Maple Woods,NA,King County,Washington
7437100340,"47.349,-122.031",233rd Avenue Southeast,28155,Rosewood Parke,NA,King County,Washington
9418400240,"47.5474,-122.291",32nd Avenue South,6018,Holly Park,Seattle,King County,Washington
1523059105,"47.4811,-122.149",143rd Avenue Southeast,14241,NA,NA,King County,Washington
1133000671,"47.7264,-122.31",Northeast 135th Street,1715,Kenwood,Seattle,King County,Washington
4232902595,"47.6337,-122.365",6th Avenue West,NA,NA,Seattle,King County,Washington
2599001200,"47.2909,-122.189",Fir Street Southeast,2020,NA,NA,King County,Washington
3342103156,"47.5228,-122.199",Meadow Avenue North,3419,Kennydale,NA,King County,Washington
1332700270,"47.518,-122.194",Kennewick Place Northeast,2906,Kennydale,NA,King County,Washington
3869900162,"47.5394,-122.387",California Avenue Southwest,7106,Morgan Junction,Seattle,King County,Washington
2791500270,"47.2897,-122.372",Southwest 349th Place,3002,NA,NA,King County,Washington
5036300431,"47.6506,-122.391",West Bertona Street,2650,Lawton Park,Seattle,King County,Washington
4168000060,"47.322,-122.351",12th Avenue Southwest,31218,NA,NA,King County,Washington
6021501535,"47.687,-122.386",Jones Avenue Northwest,8002,Loyal Heights,Seattle,King County,Washington
6021501535,"47.687,-122.386",Jones Avenue Northwest,8002,Loyal Heights,Seattle,King County,Washington
1483300570,"47.5873,-122.249",64th Avenue Southeast,2688,McGilvra,NA,King County,Washington
3422049190,"47.3576,-122.277",South 272nd Street,4419,Cambridge East,NA,King County,Washington
1099611230,"47.3036,-122.378",36th Avenue Southwest,33209,NA,NA,King County,Washington
722079104,"47.4109,-121.958",290th Avenue Southeast,21315,NA,NA,King County,Washington
7338200240,"47.4838,-121.714",470th Avenue Southeast,12711,Riverpoint,NA,King County,Washington
1952200240,"47.6415,-122.315",Boyer Avenue East,2509,Montlake,Seattle,King County,Washington
5200100125,"47.6775,-122.372",12th Avenue Northwest,6549,Whittier Heights,Seattle,King County,Washington
7214720075,"47.7731,-122.08",194th Avenue Northeast,20088,NA,NA,King County,Washington
2450000295,"47.5814,-122.196",108th Avenue Southeast,3190,NA,Bellevue,King County,Washington
6197800045,"47.4375,-122.184",118th Avenue Southeast,18415,NA,NA,King County,Washington
1328310370,"47.4431,-122.133",Southeast 177th Place,15616,Candlewood,NA,King County,Washington
546000875,"47.6878,-122.38",18th Avenue Northwest,8026,Whittier Heights,Seattle,King County,Washington
3530510041,"47.3813,-122.322",9th Place South,24521,Zenith,NA,King County,Washington
1853000400,"47.7304,-122.082",Northeast 143rd Place,19166,NA,NA,King County,Washington
3134100116,"47.6417,-122.109",173rd Court Northeast,3598,NA,NA,King County,Washington
9545230140,"47.5386,-122.053",Northwest Honeywood Court,1098,NA,NA,King County,Washington
3362400511,"47.6823,-122.349",North 74th Street,719,NA,Seattle,King County,Washington
2525310310,"47.3624,-122.031",233rd Court Southeast,26707,Fernwood Estates,NA,King County,Washington
6126500060,"47.5474,-122.295",Chief Sealth Trail,NA,Holly Park,Seattle,King County,Washington
8961960160,"47.3183,-122.253",R Street Northwest,1119,NA,NA,King County,Washington
3626039325,"47.6981,-122.368",Northwest 95th Street,820,Crown Hill,Seattle,King County,Washington
3362400431,"47.6824,-122.347",North 74th Street,767,NA,Seattle,King County,Washington
4060000240,"47.5009,-122.248",69th Place South,11440,NA,Seattle,King County,Washington
3454800060,"47.4965,-122.303",Military Road South,11834,NA,NA,King County,Washington
1695900060,"47.587,-122.294",30th Avenue South,1733,NA,Seattle,King County,Washington
7278700070,"47.7728,-122.386",Northwest 197th Street,NA,NA,Shoreline,King County,Washington
6675500070,"47.7288,-122.226",Northeast 142nd Street,8621,Simonds Estates,NA,King County,Washington
3626039187,"47.6999,-122.364",Northwest 97th Street,612,Crown Hill,Seattle,King County,Washington
3524049083,"47.5299,-122.266",Seward Park Avenue South,7958,Dunlap,Seattle,King County,Washington
3275860240,"47.6897,-122.098",Northeast 99th Way,18322,NA,NA,King County,Washington
4389200955,"47.6141,-122.212",Northeast 1st Street,9616,NA,Bellevue,King County,Washington
4058801670,"47.5091,-122.244",South Rustic Road,7218,Lakeridge,Seattle,King County,Washington
8732020310,"47.3129,-122.39",44th Place Southwest,32219,Twin Lakes,NA,King County,Washington
2331300505,"47.6763,-122.352",North 65th Street,512,NA,Seattle,King County,Washington
7853210060,"47.5319,-121.85",Southeast Gravenstein Court,36702,Eagle Nest,NA,King County,Washington
3668000070,"47.2761,-122.152",37th Street Southeast,5805,NA,NA,King County,Washington
9545240070,"47.5343,-122.054",Jasmine Place Northwest,NA,NA,NA,King County,Washington
1243100136,"47.697,-122.072",NA,NA,NA,NA,King County,Washington
8929000270,"47.5517,-121.998",Northeast Logan Street,NA,NA,NA,King County,Washington
2767602356,"47.6734,-122.38",Northwest 61st Street,1722,Sunset Hill,Seattle,King County,Washington
921049315,"47.3257,-122.296",South 308th Lane,2833,NA,NA,King County,Washington
3655000070,"47.3309,-122.299",26th Place South,30204,NA,NA,King County,Washington
4027700812,"47.7689,-122.266",59th Place Northeast,19311,NA,NA,King County,Washington
3992700335,"47.7135,-122.287",Northeast 117th Street,3825,NA,Seattle,King County,Washington
2767603505,"47.6722,-122.381",Northwest 60th Street,1749,NA,Seattle,King County,Washington
4232901525,"47.6338,-122.358",1st Avenue West,1604,NA,Seattle,King County,Washington
1777500060,"47.5707,-122.128",Southeast 42nd Place,15954,NA,Bellevue,King County,Washington
1432900240,"47.4563,-122.171",Southeast 164th Street,12759,NA,NA,King County,Washington
6140100875,"47.7144,-122.351",Evanston Avenue North,11700,NA,Seattle,King County,Washington
6071600370,"47.5495,-122.174",125th Avenue Southeast,6026,NA,Bellevue,King County,Washington
1526069017,"47.7421,-122.026",Northeast 156th Place,NA,NA,NA,King County,Washington
809001525,"47.6354,-122.353",2nd Avenue North,1816,NA,Seattle,King County,Washington
3224079105,"47.5262,-121.943",299th Place Southeast,8485,NA,NA,King County,Washington
8075400570,"47.3887,-122.286",South 239th Street,3704,Midway,King County,King County,Washington
1994200024,"47.6873,-122.336",Wallingford Avenue North,8012,Licton Springs,Seattle,King County,Washington
3362900810,"47.6838,-122.353",North 76th Street,355,NA,Seattle,King County,Washington
1324300398,"47.655,-122.359",2nd Avenue Northwest,3952,NA,Seattle,King County,Washington
537000445,"47.3255,-122.304",South 308th Street,2223,NA,NA,King County,Washington
7855801670,"47.562,-122.162",Somerset Drive Southeast,NA,NA,Bellevue,King County,Washington
7920100045,"47.679,-122.3",26th Avenue Northeast,6849,Ravenna,Seattle,King County,Washington
8960000030,"47.4479,-122.176",125th Avenue Southeast,17229,NA,NA,King County,Washington
6388930390,"47.525,-122.172",Southeast 86th Place,12703,Olympus,NA,King County,Washington
8731900200,"47.3135,-122.369",Southwest 322nd Street,2719,Twin Lakes,NA,King County,Washington
8029200135,"47.2086,-121.996",Lafromboise Street,1857,NA,NA,King County,Washington
1081200350,"47.4715,-122.118",166th Place Southeast,14538,NA,NA,King County,Washington
84000105,"47.4877,-122.335",Southwest 129th Street,105,NA,NA,King County,Washington
3756500060,"47.7171,-122.193",111th Avenue Northeast,13024,NA,NA,King County,Washington
7215720160,"47.6012,-122.023",Southeast 8th Street,24011,NA,NA,King County,Washington
3574800520,"47.7319,-122.224",88th Avenue Northeast,14413,NA,NA,King County,Washington
2617300160,"47.4582,-122.023",239th Avenue Southeast,16037,Four Lakes,NA,King County,Washington
2558660270,"47.7209,-122.168",129th Place Northeast,13415,NA,NA,King County,Washington
2009000370,"47.408,-122.327",Des Moines Creek Trail,21619,Des Moines Creek,NA,King County,Washington
1836980160,"47.565,-122.125",Southeast 45th Court,16098,NA,Bellevue,King County,Washington
3261020370,"47.7028,-122.231",Northeast 115th Way,8236,NA,NA,King County,Washington
1755700060,"47.7458,-122.331",North 161st Street,2362,Meridian Park,Shoreline,King County,Washington
4330600435,"47.4776,-122.337",2nd Avenue Southwest,14003,NA,NA,King County,Washington
9542800700,"47.3026,-122.374",33rd Place Southwest,33406,NA,NA,King County,Washington
1999700045,"47.7658,-122.339",Densmore Avenue North,18842,NA,Shoreline,King County,Washington
1762600070,"47.6477,-122.182",118th Avenue Northeast,4114,NA,NA,King County,Washington
1687900520,"47.5619,-122.125",161st Avenue Southeast,4652,NA,Bellevue,King County,Washington
7234600798,"47.6106,-122.31",17th Avenue,904,NA,Seattle,King County,Washington
3881900445,"47.5868,-122.308",19th Avenue South,1806,NA,Seattle,King County,Washington
2254502445,"47.6101,-122.307",East Marion Street,1915,NA,Seattle,King County,Washington
5437810320,"47.1976,-121.999",Harmony Lane,811,NA,NA,King County,Washington
9158100075,"47.7224,-122.358",1st Avenue Northwest,12732,NA,Seattle,King County,Washington
3830630310,"47.3505,-122.179",Southeast 280th Court,12128,NA,NA,King County,Washington
8123100045,"47.5384,-122.376",35th Avenue Southwest,7000,High Point,Seattle,King County,Washington
3127200041,"47.7044,-122.2",106th Avenue Northeast,11611,NA,NA,King County,Washington
6661200320,"47.3848,-122.039",Southeast 242nd Street,22730,Parkhaven Place,NA,King County,Washington
11510310,"47.6993,-122.102",178th Court Northeast,11299,NA,NA,King County,Washington
825059270,"47.6627,-122.188",114th Avenue Northeast,6206,NA,NA,King County,Washington
8731951370,"47.3099,-122.379",36th Avenue Southwest,32621,NA,NA,King County,Washington
1954440060,"47.62,-122.043",Northeast 11th Place,22354,NA,NA,King County,Washington
2264500350,"47.65,-122.34",Ashworth Avenue North,3526,NA,Seattle,King County,Washington
1115810060,"47.6647,-122.153",140th Place Northeast,NA,NA,NA,King County,Washington
9477200200,"47.726,-122.191",113th Avenue Northeast,14004,NA,NA,King County,Washington
1432600560,"47.4616,-122.184",118th Avenue Southeast,15859,NA,NA,King County,Washington
2287000060,"47.5505,-122.219",Southeast 58th Street,9053,NA,NA,King County,Washington
3663500060,"47.7606,-122.336",Burke Avenue North,18008,Meridian Park,Shoreline,King County,Washington
3996900125,"47.7481,-122.3",27th Avenue Northeast,16400,Briarcrest,Shoreline,King County,Washington
7796450200,"47.2779,-122.347",Southwest 361st Street,833,NA,NA,King County,Washington
7549802535,"47.5511,-122.312",16th Avenue South,5802,Van Asselt,Seattle,King County,Washington
3278600320,"47.5488,-122.372",31st Avenue Southwest,5942,NA,Seattle,King County,Washington
2824079053,"47.5385,-121.911",Preston Fall City Road Southeast,NA,NA,NA,King County,Washington
1222069094,"47.4058,-121.994",260th Avenue Southeast,21820,NA,NA,King County,Washington
3542300060,"47.5093,-122.184",Northeast 20th Street,2625,Kennydale,NA,King County,Washington
2222059065,"47.3777,-122.165",132nd Avenue Southeast,25002,Kensington Heights,NA,King County,Washington
7551300060,"47.675,-122.394",Northwest 64th Street,2823,Sunset Hill,Seattle,King County,Washington
100600550,"47.3025,-122.37",28th Place Southwest,33400,Twin Lakes,NA,King County,Washington
3211100860,"47.4787,-122.158",Southeast 4th Place,4519,Heather Downs,NA,King County,Washington
3456000310,"47.5378,-122.219",Southeast 72nd Place,9061,NA,NA,King County,Washington
9526600140,"47.7073,-122.114",Northeast 120th Street,16820,NA,NA,King County,Washington
7465900060,"47.5733,-122.381",Southwest Hinds Street,3816,NA,Seattle,King County,Washington
