,id,query,road,house_number,neighbourhood,city,county,state
0,7129300520,"47.5112,-122.257",61st Avenue South,10012,Rainier Beach,Seattle,King County,Washington
1,6414100192,"47.721,-122.319",Northeast 127th Street,837,,Seattle,King County,Washington
2,5631500400,"47.7379,-122.233",81st Avenue Northeast,15109,,,King County,Washington
3,2487200875,"47.5208,-122.393",Fauntleroy Way Southwest,9236,,Seattle,King County,Washington
4,1954400510,"47.6168,-122.045",221st Avenue Northeast,923,,,King County,Washington
5,7237550310,"47.6561,-122.005",Northeast Patterson Way,25005,,,King County,Washington
6,1321400060,"47.3097,-122.327",South 330th Place,533,,,King County,Washington
7,2008000270,"47.4095,-122.315",14th Avenue South,21421,Des Moines Creek,,King County,Washington
8,2414600126,"47.5123,-122.337",Southwest 102nd Street,216,,Seattle,King County,Washington
9,3793500160,"47.3684,-122.031",232nd Place Southeast,26007,Katesridge,,King County,Washington
10,1736800520,"47.6007,-122.145",146th Avenue Southeast,,,Bellevue,King County,Washington
11,9212900260,"47.69,-122.292",Northeast 85th Street,3169,Wedgwood,Seattle,King County,Washington
12,114101516,"47.7558,-122.229",NE 176th Court,8308,,,King County,Washington
13,6054650070,"47.6127,-122.045",Northeast 3rd Place,22144,,,King County,Washington
14,1175000570,"47.67,-122.394",Northwest 57th Street,2825,Sunset Hill,Seattle,King County,Washington
15,9297300055,"47.5714,-122.375",33rd Avenue Southwest,3614,,Seattle,King County,Washington
16,1875500060,"47.7277,-121.962",Northeast 141st Place,28272,,,King County,Washington
17,6865200140,"47.6648,-122.343",North 50th Street,1215,,Seattle,King County,Washington
18,16000397,"47.3089,-122.21",Pike Street Northeast,19,,,King County,Washington
19,7983200060,"47.3343,-122.306",21st Avenue South,29826,,,King County,Washington
20,6300500875,"47.7025,-122.341",Interlake Avenue North,10033,Licton Springs,Seattle,King County,Washington
21,2524049179,"47.5316,-122.233",79th Avenue Southeast,7998,,,King County,Washington
22,7137970340,"47.3266,-122.169",Southeast 307th Place,12840,,,King County,Washington
23,8091400200,"47.3533,-122.166",Southeast 277th Place,13105,,,King County,Washington
24,3814700200,"47.3739,-122.172",Southeast 254th Court,12715,White Horse Crossing,,King County,Washington
25,1202000200,"47.3048,-122.218",I Street Southeast,316,,,King County,Washington
26,1794500383,"47.6386,-122.36",West Boston Street,206,,Seattle,King County,Washington
27,3303700376,"47.6221,-122.314",East Harrison Street,1414,,Seattle,King County,Washington
28,5101402488,"47.695,-122.304",Northeast 91st Street,2302,Wedgwood,Seattle,King County,Washington
29,1873100390,"47.7073,-122.11",Northeast 119th Way,17256,,,King County,Washington
30,8562750320,"47.5391,-122.07",Northwest Granite Peak Lane,,,,King County,Washington
31,2426039314,"47.7274,-122.357",Greenwood Avenue North,13435,,Seattle,King County,Washington
32,461000390,"47.6823,-122.368",9th Avenue Northwest,7326,Whittier Heights,Seattle,King County,Washington
33,7589200193,"47.6889,-122.375",Northwest 83rd Street,1420,Whittier Heights,Seattle,King County,Washington
34,7955080270,"47.4276,-122.157",138th Avenue Southeast,19504,Rock Creek,,King County,Washington
35,9547205180,"47.6827,-122.31",17th Avenue Northeast,7349,,Seattle,King County,Washington
36,9435300030,"47.6621,-122.132",Northeast 62nd Court,15645,,,King County,Washington
37,2768000400,"47.6702,-122.362",Northwest 58th Street,,,Seattle,King County,Washington
