,id,decision,date,buying_price,median_price_zipcode,selling_price_suggestion,expected_profit,condition,zipcode,dist_fromlake,yr_built,yr_renovated,bedrooms,bathrooms,sqft_living,sqft_above,sqft_lot,sqft_basement,floors,waterfront,grade,lat,long,query,road,house_number,neighbourhood,city,county,state,season,med_autumn,med_spring,med_summer,med_winter,season_to_sell
0,5561000190,1,2014-05-02,437500.0,570500.0,568750.0,131250.0,4,98027,28.183629544227568,1977,0,3,2.25,1970,1970,35100,0,2.0,0,9,47.4635,-121.991,"47.4635,-121.991",Southeast 154th Street,26069,,,King County,Washington,spring,545000.0,574950.0,575000.0,538100.0,autumn spring summer winter 
4,5056500260,1,2014-05-02,440000.0,762684.5,572000.0,132000.0,3,98006,12.384710112705143,1966,0,4,2.25,2160,1080,8119,1080,1.0,0,8,47.5443,-122.177,"47.5443,-122.177",Southeast 65th Street,12201,,Bellevue,King County,Washington,spring,765000.0,755000.0,760000.0,791270.5,autumn spring summer winter 
5,3438501320,1,2014-05-02,295000.0,315000.0,383500.0,88500.0,3,98106,12.85064335134402,2009,0,2,2.5,1630,1280,1368,350,2.0,0,7,47.5489,-122.363,"47.5489,-122.363",Delridge Way Southwest,5915,,Seattle,King County,Washington,spring,315000.0,312250.0,315000.0,325000.0,autumn spring summer winter 
6,1737320120,1,2014-05-02,470000.0,470000.0,611000.0,141000.0,3,98011,14.603413176818568,1976,0,5,2.5,2210,1460,9655,750,1.0,0,8,47.7698,-122.222,"47.7698,-122.222",Northeast 195th Street,8915,,,King County,Washington,spring,452000.0,478500.0,460000.0,512500.0,spring winter 
7,7197300105,1,2014-05-02,550000.0,615000.0,715000.0,165000.0,4,98052,11.843107892353325,1976,0,4,2.5,1940,1140,10500,800,1.0,0,7,47.683,-122.114,"47.683,-122.114",170th Avenue Northeast,9105,,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
8,1999700045,1,2014-05-02,313000.0,375000.0,406900.0,93900.0,3,98133,15.11788908029387,1955,0,3,1.5,1340,1340,7912,0,1.5,0,7,47.7658,-122.339,"47.7658,-122.339",Densmore Avenue North,18842,,Shoreline,King County,Washington,spring,362500.0,400000.0,358401.5,415000.0,autumn spring summer winter 
9,1962200037,1,2014-05-02,626000.0,710000.0,813800.0,187800.0,3,98102,4.731014761698454,2005,0,3,2.25,1750,1470,1572,280,2.5,0,9,47.6498,-122.321,"47.6498,-122.321",Franklin Avenue East,3136,Portage Bay,Seattle,King County,Washington,spring,752000.0,699750.0,652500.0,800000.0,autumn spring summer winter 
14,6403500290,1,2014-05-02,407500.0,435000.0,529750.0,122250.0,3,98059,17.939309098356578,1996,0,3,2.5,1930,1930,10460,0,2.0,0,8,47.4938,-122.161,"47.4938,-122.161",Northeast 6th Place,4314,Orchards,,King County,Washington,spring,427500.0,450000.0,435000.0,420000.0,autumn spring summer winter 
15,2771102144,1,2014-05-02,385000.0,690000.0,500500.0,115500.0,3,98199,9.333301396339936,2008,0,3,3.25,1320,1040,1327,280,2.0,0,8,47.6506,-122.383,"47.6506,-122.383",21st Avenue West,3400,Interbay,Seattle,King County,Washington,spring,650000.0,730000.0,735000.0,606000.0,autumn spring summer winter 
16,5100401414,1,2014-05-02,490000.0,570000.0,637000.0,147000.0,3,98115,7.409119312568393,1938,1994,2,1.0,880,880,6380,0,1.0,0,7,47.6924,-122.322,"47.6924,-122.322",Northeast 88th Street,522,,Seattle,King County,Washington,spring,552500.0,595000.0,550000.0,580000.0,autumn spring summer winter 
17,8673400086,1,2014-05-02,445700.0,529975.0,579410.0,133710.0,3,98107,10.446524677164243,2001,0,3,2.5,1270,1270,1180,0,3.0,0,8,47.6697,-122.392,"47.6697,-122.392",Northwest 56th Street,2640,Sunset Hill,Seattle,King County,Washington,spring,500000.0,560000.0,517000.0,583500.0,autumn spring summer winter 
18,943100683,1,2014-05-02,335000.0,462500.0,435500.0,100500.0,4,98024,28.463507639271523,1978,0,3,2.25,1580,1580,16215,0,1.0,0,7,47.5643,-121.897,"47.5643,-121.897",Southeast 45th Street,33289,,,King County,Washington,spring,430000.0,589000.0,529000.0,369500.0,autumn spring summer winter 
23,2738600140,1,2014-05-02,499950.0,520000.0,649935.0,149985.0,3,98072,16.578653768515203,2004,0,4,2.5,2860,2190,3345,670,2.0,0,8,47.7735,-122.158,"47.7735,-122.158",137th Avenue Northeast,20160,,,King County,Washington,spring,550000.0,534640.0,501000.0,482000.0,autumn spring summer 
25,2202500290,1,2014-05-02,435000.0,762684.5,565500.0,130500.0,4,98006,11.878002922446475,1954,0,4,1.0,1450,1450,8800,0,1.0,0,7,47.5746,-122.135,"47.5746,-122.135",154th Avenue Southeast,3980,,Bellevue,King County,Washington,spring,765000.0,755000.0,760000.0,791270.5,autumn spring summer winter 
28,3876200060,1,2014-05-02,382500.0,446000.0,497250.0,114750.0,4,98034,11.263294460854281,1967,0,4,1.75,1560,1560,8700,0,1.0,0,7,47.7274,-122.181,"47.7274,-122.181",119th Avenue Northeast,14104,,,King County,Washington,spring,442500.0,460000.0,440000.0,440000.0,autumn spring summer winter 
31,1771000430,1,2014-05-02,315000.0,652475.0,409500.0,94500.0,3,98077,18.016732335697192,1968,0,3,1.0,1160,1160,9180,0,1.0,0,7,47.7427,-122.072,"47.7427,-122.072",Northeast 158th Street,19860,,,King County,Washington,spring,640000.0,610000.0,727500.0,681000.0,autumn spring summer winter 
34,2618300080,1,2014-05-02,242500.0,291500.0,315250.0,72750.0,4,98042,25.559747845683578,1965,0,3,1.5,1200,1200,9720,0,1.0,0,7,47.4225,-122.153,"47.4225,-122.153",Southeast 201st Street,14034,,,King County,Washington,spring,279000.0,301750.0,299500.0,286000.0,autumn spring summer winter 
36,2207200675,1,2014-05-02,419000.0,560000.0,544700.0,125700.0,4,98007,10.325813543793489,1956,0,3,1.5,1570,1570,6700,0,1.0,0,7,47.6022,-122.134,"47.6022,-122.134",Southeast 9th Street,,,Bellevue,King County,Washington,spring,525000.0,592500.0,552000.0,598780.0,autumn spring summer winter 
38,7525000080,1,2014-05-02,588500.0,644500.0,765050.0,176550.0,3,98074,16.056598205186845,1980,0,3,1.75,2330,1970,14892,360,1.0,0,8,47.6267,-122.046,"47.6267,-122.046",220th Place Northeast,1899,,,King County,Washington,spring,623000.0,656250.0,637000.0,623900.0,autumn spring summer winter 
40,4040800810,1,2014-05-02,420000.0,545000.0,546000.0,126000.0,4,98008,11.158043517130352,1963,0,3,2.25,2000,1000,8030,1000,1.0,0,8,47.6188,-122.114,"47.6188,-122.114",170th Place Northeast,931,,Bellevue,King County,Washington,spring,529219.0,550000.0,563750.0,542000.0,autumn spring summer winter 
41,2391600950,1,2014-05-02,439950.0,562750.0,571935.0,131985.0,3,98116,13.471219786978295,1990,0,3,2.5,1770,1770,2875,0,2.0,0,8,47.5631,-122.397,"47.5631,-122.397",51st Avenue Southwest,4458,,Seattle,King County,Washington,spring,531250.0,567750.0,580000.0,567500.0,autumn spring summer winter 
43,4408100095,1,2014-05-02,308500.0,379975.0,401050.0,92550.0,4,98155,11.682128770530941,1950,0,2,1.0,850,850,6174,0,1.0,0,7,47.7352,-122.328,"47.7352,-122.328",Northeast 147th Street,135,,Shoreline,King County,Washington,spring,360000.0,382500.0,364500.0,410000.0,autumn spring summer winter 
46,2011000010,1,2014-05-02,257950.0,266125.0,335335.0,77385.0,3,98198,29.1232640384738,1987,0,3,1.75,1370,1370,5858,0,1.0,0,7,47.3815,-122.313,"47.3815,-122.313",South 245th Place,1605,Zenith,,King County,Washington,spring,262500.0,257950.0,269900.0,275000.0,autumn spring summer winter 
48,1982201345,1,2014-05-02,440000.0,529975.0,572000.0,132000.0,4,98107,8.253069171474438,1944,0,2,1.0,800,800,4850,0,1.0,0,7,47.6639,-122.364,"47.6639,-122.364",6th Avenue Northwest,4715,,Seattle,King County,Washington,spring,500000.0,560000.0,517000.0,583500.0,autumn spring summer winter 
49,1525079056,1,2014-05-02,284000.0,415000.0,369200.0,85200.0,3,98014,26.490224533267053,1968,0,3,1.75,1800,1800,23103,0,1.0,0,7,47.6517,-121.906,"47.6517,-121.906",Northeast 50th Street,32498,,,King County,Washington,spring,405000.0,422925.0,470000.0,341000.0,autumn spring summer winter 
52,776600130,1,2014-05-02,275000.0,399500.0,357500.0,82500.0,3,98045,39.299881970551645,1983,0,3,1.5,1180,1180,10277,0,1.0,0,6,47.488,-121.787,"47.488,-121.787",415th Avenue Southeast,12445,,,King County,Washington,spring,355000.0,427437.0,413500.0,414500.0,autumn spring summer winter 
